month,aluminum,cobalt,copper,iron ore,lead,molybdenum,nickel,tin,uranium,zinc,dt_ym,dt_y,dt_m
Mar 2003,1386.52380952381,16688.6440762303,1655.69285714286,13.82,454.709523809524,,8339.61904761905,4592.66666666667,10.1,790.304761904762,2003-03-01,2003,3
Apr 2003,1334.29,16924.4567303125,1587.8675,13.82,438.0,,7930.525,4561.2,10.1,756.725,2003-04-01,2003,4
May 2003,1400.3975,17937.8873373231,1651.1,13.82,462.325,,8347.725,4733.9175,10.8954545454545,776.1,2003-05-01,2003,5
Jun 2003,1410.51666666667,19538.0305518236,1685.10714285714,13.82,467.654761904762,,8839.02380952381,4677.86190476191,10.9,790.642857142857,2003-06-01,2003,6
Jul 2003,1440.88043478261,19581.4002089864,1712.82608695652,13.82,513.336956521739,,8831.7,4733.15217391304,10.9521739130435,828.484782608696,2003-07-01,2003,7
Aug 2003,1457.225,19234.4429516843,1756.725,13.82,493.7575,,9359.875,4802.475,11.2375,815.195,2003-08-01,2003,8
Sep 2003,1416.57727272727,18828.7789493683,1789.67045454545,13.82,520.961363636364,,9995.77272727273,4907.25,11.4928571428571,818.920454545455,2003-09-01,2003,9
Oct 2003,1477.22391304348,19552.0974058425,1925.58260869565,13.82,587.434782608696,,11040.2826086957,5227.4347826087,12.3722222222222,900.080434782609,2003-10-01,2003,10
Nov 2003,1511.585,25581.50553814,2053.275,13.82,622.6625,,12052.375,5363.325,13.175,914.2125,2003-11-01,2003,11
Dec 2003,1557.77857142857,34005.5070646495,2202.03571428571,13.82,690.107142857143,,14185.2095238095,6058.40714285714,13.35,976.757142857143,2003-12-01,2003,12
Jan 2004,1608.89285714286,49222.5895316805,2421.47619047619,16.39,753.559523809524,,15089.3333333333,6432.4880952381,14.8,1015.8880952381,2004-01-01,2004,1
Feb 2004,1685.225,49818.7251828631,2751.7175,16.39,885.1525,,15099.35,6662.7,16.05,1085.7875,2004-02-01,2004,2
Mar 2004,1657.35434782609,50171.1507882423,3000.28260869565,16.39,878.141304347826,,13786.5434782609,7602.20652173913,17.1388888888889,1101.79565217391,2004-03-01,2004,3
Apr 2004,1731.68,48601.6148950318,2926.975,16.39,747.025,,12725.9,8909.0,17.75,1028.9125,2004-04-01,2004,4
May 2004,1625.25,46839.2297357814,2728.46052631579,16.39,804.092105263158,,11228.6052631579,9391.63157894737,17.75,1030.95789473684,2004-05-01,2004,5
Jun 2004,1682.02954545455,46214.5883917545,2689.04545454545,16.39,863.727272727273,,13599.3636363636,9158.63636363636,17.88125,1018.84090909091,2004-06-01,2004,6
Jul 2004,1707.84090909091,45381.6544124631,2816.79545454545,16.39,931.340909090909,,15020.0681818182,9021.90909090909,17.9,988.084090909091,2004-07-01,2004,7
