"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2012","139.90","139.90","139.90","139.90","-","-0.14%"
"Feb 16, 2012","140.10","140.10","140.10","140.10","-","-0.43%"
"Feb 15, 2012","140.70","140.70","140.70","140.70","-","-0.21%"
"Feb 14, 2012","141.00","141.00","141.00","141.00","-","-0.84%"
"Feb 13, 2012","142.20","142.20","142.20","142.20","-","-0.42%"
"Feb 10, 2012","142.80","142.80","142.80","142.80","-","0.00%"
"Feb 09, 2012","142.80","142.80","142.80","142.80","-","0.00%"
"Feb 08, 2012","142.80","142.80","142.80","142.80","-","-0.56%"
"Feb 07, 2012","143.60","143.60","143.60","143.60","-","-0.69%"
"Feb 06, 2012","144.60","144.60","144.60","144.60","-","0.84%"
"Feb 03, 2012","143.40","143.40","143.40","143.40","-","-0.83%"
"Feb 02, 2012","144.60","144.60","144.60","144.60","-","-0.07%"
"Feb 01, 2012","144.70","144.70","144.70","144.70","-","3.06%"
"Jan 31, 2012","140.40","140.40","140.40","140.40","-","0.29%"
"Jan 30, 2012","140.00","140.00","140.00","140.00","-","0.14%"
"Jan 27, 2012","139.80","139.80","139.80","139.80","-","0.14%"
"Jan 26, 2012","139.60","139.60","139.60","139.60","-","0.14%"
"Jan 25, 2012","139.40","139.40","139.40","139.40","-","0.14%"
"Jan 24, 2012","139.20","139.20","139.20","139.20","-","0.14%"
"Jan 23, 2012","139.00","139.00","139.00","139.00","-","0.14%"
"Jan 20, 2012","138.80","138.80","138.80","138.80","-","0.14%"
"Jan 19, 2012","138.60","138.60","138.60","138.60","-","0.14%"
"Jan 18, 2012","138.40","138.40","138.40","138.40","-","0.14%"
"Jan 17, 2012","138.20","138.20","138.20","138.20","-","0.29%"
"Jan 13, 2012","137.80","137.80","137.80","137.80","-","0.29%"
"Jan 12, 2012","137.40","137.40","137.40","137.40","-","0.37%"
"Jan 11, 2012","136.90","136.90","136.90","136.90","-","0.07%"
"Jan 10, 2012","136.80","136.80","136.80","136.80","-","0.22%"
"Jan 09, 2012","136.50","136.50","136.50","136.50","-","0.15%"
"Jan 06, 2012","136.30","136.30","136.30","136.30","-","0.15%"
"Jan 05, 2012","136.10","136.10","136.10","136.10","-","0.15%"
"Jan 04, 2012","135.90","135.90","135.90","135.90","-","0.15%"
